Type,ID_A,ID_B,Title_A,Title_B,Similarity_%,Match_Type,Level,Paragraph_Count
Section,section_137,section_152,ハンドル,ハンドル,100.0,exact,1,1
Section,section_182,section_196,フォグランプスイッチ,フォグランプスイッチ,100.0,exact,1,1
Section,section_183,section_197,ワイパー& ウォッシャー（フロント）,ワイパー& ウォッシャー（フロント）,100.0,exact,1,1
Section,section_184,section_198,ワイパー& ウォッシャー（リヤ）,ワイパー& ウォッシャー（リヤ）,100.0,exact,1,1
Section,section_242,section_273,内装の手入れ,内装の手入れ,100.0,exact,1,2
Section,section_40,section_58,警告灯／表示灯,警告灯／表示灯,100.0,exact,1,1
Section,section_118,section_133,ドア（フロントドア、リヤドア）,ドア（フロントドア、リヤドア）,100.0,exact,1,1
Section,section_130,section_145,フロントシート,フロントシート,100.0,exact,1,1
Section,section_138,section_153,インナーミラー,インナーミラー,100.0,exact,1,1
Section,section_139,section_154,ドアミラー,ドアミラー,100.0,exact,1,1
Section,section_185,section_199,給油口の開け方,給油口の開け方,100.0,exact,1,1
Section,section_231,section_261,シートヒーター,シートヒーター,100.0,exact,1,1
Section,section_248,section_280,ウォッシャー液の補充,ウォッシャー液の補充,100.0,exact,1,1
Section,section_257,section_294,タイヤ空気圧について,タイヤ空気圧について,100.0,exact,1,1
Section,section_13,section_13,運転する前に,運転する前に,100.0,exact,1,1
Section,section_20,section_21,SRS エアバッグ,SRS エアバッグ,100.0,exact,1,2
Section,section_32,section_22,排気ガスに対する注意,排気ガスに対する注意,100.0,exact,1,1
Section,section_68,section_84,計器類,計器類,100.0,exact,1,1
Section,section_142,section_156,パワーウインドウ,パワーウインドウ,100.0,exact,1,1
Section,section_175,section_189,パーキングブレーキ,パーキングブレーキ,100.0,exact,1,1
Section,section_206,section_225,オートマチックハイビーム,オートマチックハイビーム,100.0,exact,1,1
Section,section_247,section_279,ガレージジャッキ,ガレージジャッキ,100.0,exact,1,1
Section,section_314,section_354,ションディスプレイ装着車）,ションディスプレイ装着車）,100.0,exact,4,1
Section,section_241,section_272,外装の手入れ,外装の手入れ,72.0,exact,1,1
Section,section_17,section_17,シートベルト,シートベルト,71.59,exact,1,1
Section,section_1,section_1,TABLE OF CONTENTS 㸭,TABLE OF CONTENTS 㸭,61.31,exact,6,1
Section,section_10,section_10,イラスト目次,イラスト目次,58.54,exact,1,1
Section,section_37,section_52,イモビライザーシステム,イモビライザーシステム,58.51,exact,1,1
Section,section_2,section_2,TABLE OF CONTENTS 㸭,TABLE OF CONTENTS 㸭,54.34,exact,6,1
Section,section_225,section_254,オートエアコン,オートエアコン,53.82,exact,1,1
Section,section_21,section_23,お子さまの安全のために,お子さまを乗せるときは,47.96,partial,1,1
Section,section_258,section_295,エアコンフィルターの交換,エアコンフィルターの交換,41.95,exact,1,1
Section,section_235,section_265,収納装備一覧,収納装備一覧,35.94,exact,1,1
Section,section_33,section_48,ハイブリッドシステムの特徴,ハイブリッドシステムの特徴,29.78,exact,1,1
Section,section_297,section_335,けん引について,けん引について,27.33,exact,1,1
Section,section_210,section_230,クルーズコントロール,クルーズコントロール,23.97,exact,1,1
Section,section_121,section_137,バックドア,バックドア,22.28,exact,1,1
Section,section_151,section_165,荷物を積むときの注意,荷物を積むときの注意,21.71,exact,1,2
Section,section_107,section_124,2. 計器の見方,2. 計器の見方,20.05,exact,2,1
Section,section_115,section_130,キー,キー,14.79,exact,1,1
Section,section_35,section_50,520 Vや冷却用ラジエーターなどの高温部位がありますのでご注,520 Vや冷却用ラジエーターなどの高温部位がありますのでご注,13.91,exact,2,1
Section,section_167,section_181,EV ドライブモード,EV ドライブモード,12.61,exact,1,1
Section,section_195,section_221,1 マルチインフォメーションディスプ,1 マルチインフォメーションディスプ,12.17,exact,2,3
Section,section_186,section_201,Toyota Safety Sense C,Toyota Safety Sense,12.08,exact,1,1
Section,section_148,section_162,運転にあたって,運転にあたって,11.16,exact,1,3
Section,section_249,section_281,タイヤについて,タイヤについて,10.07,exact,1,1
Section,section_87,section_101,2. 計器の見方,2. 計器の見方,9.65,exact,2,2
Section,section_237,section_268,その他の室内装備,その他の室内装備,9.49,exact,1,1
Section,section_378,section_209,1 マルチインフォメーションディスプレ,1 マルチインフォメーションディ,9.04,exact,2,1
Section,section_124,section_140,スマートエントリー＆スタートシステム,スマートエントリー＆スタートシステム,8.21,exact,1,2
Section,section_133,section_33,ヘッドレスト,1 ヘッドレスト調整式,7.57,exact,1,1
Section,section_221,section_250,寒冷時の運転,寒冷時の運転,7.55,exact,1,1
Section,section_260,section_297,ヒューズの点検、交換,ヒューズの点検、交換,1.83,exact,1,20
Section,section_23,section_146,子供専用シート,リヤシート,1.77,partial,1,2
Section,section_136,section_151,ヘッドレストを取り付け穴に合わせて、2,ヘッドレストを取り付け穴に合わせて、2,0.0,exact,6,0
Section,section_301,section_340,けん引フックの使用目的,けん引フックの使用目的,0.0,exact,2,0
Section,section_4,section_4,開発・品質の向上を目的に取得・利用することがあります,開発・品質の向上を目的に取得・利用することがあります,0.0,exact,2,1
Section,section_8,section_8,本書の見方,本書の見方,0.0,exact,1,0
Section,section_9,section_9,検索のしかた,検索のしかた,0.0,exact,1,0
Section,section_11,section_11,安全・安心のために,安全・安心のために,0.0,exact,4,0
Section,section_18,section_18,着用のしかた,着用のしかた,0.0,exact,6,0
Section,section_19,section_19,分離・格納のしかた,分離・格納のしかた,0.0,exact,6,0
Section,section_36,section_51,ハイブリッドシステムの注意,ハイブリッドシステムの注意,0.0,exact,1,1
Section,section_88,section_102,マルチインフォメーションディスプレイ,マルチインフォメーションディスプレイ,0.0,exact,1,0
Section,section_94,section_107,AVG,AVG,0.0,exact,6,0
Section,section_99,section_112,5 分間1 分間燃費,5 分間1 分間燃費,0.0,exact,2,0
Section,section_100,section_113,1 分刻み表示の場合までの燃費と比較することができます,1 分刻み表示の場合までの燃費と比較することができます,0.0,exact,2,0
Section,section_104,section_119,消費金額・お得金額はエコジャッジの評価点とはリンクしない場合がありま,消費金額・お得金額はエコジャッジの評価点とはリンクしない場合がありま,0.0,exact,2,0
Section,section_114,section_129,各部の操作,各部の操作,0.0,exact,4,0
Section,section_134,section_149,ロック解除ノブを引き、背もたれを前に倒1,ロック解除ノブを引き、背もたれを前に倒1,0.0,exact,6,0
Section,section_135,section_150,ロック解除ノブを引き、背もたれを前に倒1,ロック解除ノブを引き、背もたれを前に倒1,0.0,exact,6,0
Section,section_192,section_206,開発・品質の向上を目的に取得・利用することがあります,開発・品質の向上を目的に取得・利用することがあります,0.0,exact,2,1
Section,section_199,section_227,1 マルチインフォメーションディスプ,1 マルチインフォメーションディスプ,0.0,exact,2,1
Section,section_201,section_220,機能概要,機能概要,0.0,exact,2,0
Section,section_203,section_222,1 マルチインフォメーションディスプレイ非装着車,1 マルチインフォメーションディスプレイ非装着車,0.0,exact,2,1
Section,section_211,section_232,機能概要,機能概要,0.0,exact,2,1
Section,section_214,section_226,1 マルチインフォメーションディスプレイ非装着車,1 マルチインフォメーションディスプレイ非装着車,0.0,exact,2,1
Section,section_222,section_251,1 輪止めはトヨタ販売店で購入することができます,1 輪止めはトヨタ販売店で購入することができます,0.0,exact,2,1
Section,section_223,section_252,2 ブレーキペダルを踏まないでP からシフトするときにロックがかかりますシ,2 ブレーキペダルを踏まないでP からシフトするときにロックがかかりますシ,0.0,exact,2,1
Section,section_240,section_271,お手入れのしかた,お手入れのしかた,0.0,exact,4,0
Section,section_259,section_296,キーの電池交換,キーの電池交換,0.0,exact,1,1
Section,section_264,section_301,ソケットを取りはずす2,ソケットを取りはずす2,0.0,exact,6,0
Section,section_266,section_303,電球を交換し、ソケットを取り4,電球を交換し、ソケットを取り4,0.0,exact,6,0
Section,section_269,section_306,ソケットを取りはずす1,ソケットを取りはずす1,0.0,exact,6,0
Section,section_273,section_310,ソケットを取りはずす1,ソケットを取りはずす1,0.0,exact,6,0
Section,section_277,section_314,バックドアを開け、ボルト（21,バックドアを開け、ボルト（21,0.0,exact,6,0
Section,section_278,section_315,ソケットを取りはずす2,ソケットを取りはずす2,0.0,exact,6,0
Section,section_284,section_321,レンズを取り外す1,レンズを取り外す1,0.0,exact,6,1
Section,section_306,section_345,1 ブレーキ警告ブザー,1 ブレーキ警告ブザー,0.0,exact,2,0
Section,section_307,section_346,2 警告灯の点灯に合わせて警告ブザーが鳴ります,2 警告灯の点灯に合わせて警告ブザーが鳴ります,0.0,exact,2,0
Section,section_335,section_376,35 分以上充填しても指定空気圧に,35 分以上充填しても指定空気圧に,0.0,exact,2,0
Section,section_360,section_404,タイヤチェーンを前輪に装着する3,タイヤチェーンを前輪に装着する3,0.0,exact,6,0
Section,section_369,section_414,シフトレバーがP の状態でブレーキをしっかり踏む1,シフトレバーがP の状態でブレーキをしっかり踏む1,0.0,exact,6,0
Section,section_370,section_415,ブレーキペダルをしっかりと踏み込んで、スマートエントリー＆ス3,ブレーキペダルをしっかりと踏み込んで、スマートエントリー＆ス3,0.0,exact,6,0
Section,section_372,section_417,パワースイッチを短く確実に押す4,パワースイッチを短く確実に押す4,0.0,exact,6,0
Section,section_380,section_426,車両情報,車両情報,0.0,exact,4,0
Section,section_402,section_453,2 電球のみの交換はできないためトヨタ販売店にご連絡ください,2 電球のみの交換はできないためトヨタ販売店にご連絡ください,0.0,exact,2,0
Section,section_403,section_454,1.5L ガソリン,1.5L ガソリン,0.0,exact,2,0
Section,section_407,section_455,30 秒,30 秒,0.0,exact,2,0
Section,section_408,section_456,60 秒,60 秒,0.0,exact,2,0
Section,section_417,section_468,さくいん,さくいん,0.0,exact,4,0
Section,section_422,section_473,施錠・解錠できない,施錠・解錠できない,0.0,exact,6,0
Section,section_423,section_475,リヤドアが開かない,リヤドアが開かない,0.0,exact,6,0
Section,section_425,section_477,（スマートエントリー& スタートシステム非装着車）,（スマートエントリー& スタートシステム非装着車）,0.0,exact,6,0
Section,section_430,section_484,パワースイッチが自動的にOFF になった,パワースイッチが自動的にOFF になった,0.0,exact,6,0
Section,section_433,section_487,警告音・アラーム・ホーンが鳴りだした,警告音・アラーム・ホーンが鳴りだした,0.0,exact,6,0
Section,section_459,section_512,給油や交換などの際に必要になる項目をまとめてあります,給油や交換などの際に必要になる項目をまとめてあります,0.0,exact,2,0
Section,section_3,section_3,知っておいていただきたいこと,知っておいていただきたいこと,0.0,exact,1,1
Section,section_5,section_5,統計的な処理を行う目的で使用者や車両が特定されないように加,統計的な処理を行う目的で使用者や車両が特定されないように加,0.0,exact,2,0
Section,section_6,section_6,使用者・車両が特定されないデータを調査目的で第三者に開示するこ,使用者・車両が特定されないデータを調査目的で第三者に開示するこ,0.0,exact,2,1
Section,section_12,section_12,～必ずお読みください～,～必ずお読みください～,0.0,exact,6,0
Section,section_31,section_176,P. 132,P. 132,0.0,exact,2,0
Section,section_38,section_56,メーターの見方,メーターの見方,0.0,exact,4,0
Section,section_56,section_470,P. 173,P. 173,0.0,exact,2,0
Section,section_65,section_81,4 外気温が約3 以下のとき約10 秒間点滅後に点灯します,4 外気温が約3 以下のとき約10 秒間点滅後に点灯します,0.0,exact,2,0
Section,section_97,section_93,P. 94,P. 94,0.0,exact,2,0
Section,section_103,section_118,走行条件や環境によって評価点は変化しますそのため燃費とリンクしない場,走行条件や環境によって評価点は変化しますそのため燃費とリンクしない場,0.0,exact,2,0
Section,section_109,section_125,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_110,section_128,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_117,section_192,P. 301,P. 301,0.0,exact,2,0
Section,section_122,section_131,P. 115,P. 115,0.0,exact,2,1
Section,section_125,section_141,5 日間以上スマートエントリースタートシステムを使用しなかった,5 日間以上スマートエントリースタートシステムを使用しなかった,0.0,exact,2,1
Section,section_152,section_166,パワー（イグニッション）スイッチ,パワー（イグニッション）スイッチ,0.0,exact,4,0
Section,section_157,section_171,パワー（イグニッション）スイッチ,パワー（イグニッション）スイッチ,0.0,exact,4,0
Section,section_179,section_193,ランプスイッチ,ランプスイッチ,0.0,exact,1,1
Section,section_193,section_207,統計的な処理を行う目的で使用者や車両が特定されないように加,統計的な処理を行う目的で使用者や車両が特定されないように加,0.0,exact,2,0
Section,section_194,section_208,1 規格におけるレーザー等級1M に相当します通常の使用においてレーザー,1 規格におけるレーザー等級1M に相当します通常の使用においてレーザー,0.0,exact,2,1
Section,section_200,section_219,LDA（レーンディパーチャーアラート／車線逸脱警報）,LDA（レーンディパーチャーアラート／車線逸脱警報）,0.0,exact,4,1
Section,section_218,section_246,ハイブリッド車運転のアドバイス,ハイブリッド車運転のアドバイス,0.0,exact,1,1
Section,section_226,section_255,を押す1,を押す1,0.0,exact,6,0
Section,section_227,section_256,温度を設定する2,温度を設定する2,0.0,exact,6,0
Section,section_232,section_262,室内灯一覧,室内灯一覧,0.0,exact,1,1
Section,section_234,section_139,P. 119,P. 119,0.0,exact,2,1
Section,section_244,section_276,ボンネット,ボンネット,0.0,exact,1,1
Section,section_250,section_284,15 5 12J,15 5 12J,0.0,exact,2,1
Section,section_262,section_299,電球（バルブ）の交換,電球（バルブ）の交換,0.0,exact,1,1
Section,section_263,section_300,カバーをはずす1,カバーをはずす1,0.0,exact,6,0
Section,section_265,section_302,電球を取りはずす3,電球を取りはずす3,0.0,exact,6,0
Section,section_267,section_304,ソケットをまわして固定する5,ソケットをまわして固定する5,0.0,exact,6,0
Section,section_270,section_307,電球を取りはずす2,電球を取りはずす2,0.0,exact,6,0
Section,section_274,section_311,電球を取りはずす2,電球を取りはずす2,0.0,exact,6,0
Section,section_276,section_313,フロント方向指示灯／非常点滅灯,フロント方向指示灯／非常点滅灯,0.0,exact,6,0
Section,section_279,section_316,電球を取りはずす3,電球を取りはずす3,0.0,exact,6,0
Section,section_280,section_317,リヤ方向指示灯／非常点滅灯・後退灯,リヤ方向指示灯／非常点滅灯・後退灯,0.0,exact,6,0
Section,section_282,section_319,電球とソケットを取り付けるときは、取りはずしたときと逆の手順4,電球とソケットを取り付けるときは、取りはずしたときと逆の手順4,0.0,exact,6,0
Section,section_283,section_320,ランプ本体を取り付け、ボルト5,ランプ本体を取り付け、ボルト5,0.0,exact,6,0
Section,section_285,section_322,電球を取りはずす2,電球を取りはずす2,0.0,exact,6,0
Section,section_289,section_326,故障したときは,故障したときは,0.0,exact,1,1
Section,section_291,section_328,非常点滅灯（ハザードランプ）,非常点滅灯（ハザードランプ）,0.0,exact,1,0
Section,section_295,section_332,車両を緊急停止するには,車両を緊急停止するには,0.0,exact,1,0
Section,section_298,section_337,0.3 m 平方30 cm30 cm以上,0.3 m 平方30 cm30 cm以上,0.0,exact,2,0
Section,section_299,section_338,25 m 以内,25 m 以内,0.0,exact,2,0
Section,section_302,section_341,警告灯がついたときは,警告灯がついたときは,0.0,exact,1,4
Section,section_309,section_348,4 約６秒間表示されます,4 約６秒間表示されます,0.0,exact,2,0
Section,section_311,section_350,6 シートベルト非着用警告ブザー,6 シートベルト非着用警告ブザー,0.0,exact,2,0
Section,section_313,section_353,警告メッセージが表示されたときは（マルチインフォメー,警告メッセージが表示されたときは（マルチインフォメー,0.0,exact,4,0
Section,section_317,section_357,2 約６秒間表示されます,2 約６秒間表示されます,0.0,exact,2,0
Section,section_327,section_367,パンクしたときは（タイヤパンク応急修理キット,パンクしたときは（タイヤパンク応急修理キット,0.0,exact,1,1
Section,section_328,section_368,装着車）,装着車）,0.0,exact,1,1
Section,section_330,section_370,1 本のタイヤに2 箇所以上の切り傷や刺し傷があるとき,1 本のタイヤに2 箇所以上の切り傷や刺し傷があるとき,0.0,exact,2,1
Section,section_357,section_401,103 N・m (1050 kgf・cm),103 N・m (1050 kgf・cm),0.0,exact,2,0
Section,section_359,section_403,パンクした前輪をはずした後輪と交換する2,パンクした前輪をはずした後輪と交換する2,0.0,exact,6,0
Section,section_361,section_405,ハイブリッドシステムが始動できないときは,ハイブリッドシステムが始動できないときは,0.0,exact,1,1
Section,section_363,section_408,パーキングブレーキがかかっていることを確認する1,パーキングブレーキがかかっていることを確認する1,0.0,exact,6,0
Section,section_365,section_410,パワースイッチをアクセサリーモードにする3,パワースイッチをアクセサリーモードにする3,0.0,exact,6,0
Section,section_375,section_420,20 時間率容量が小さいと車両を使用していない期間が短い期間であって,20 時間率容量が小さいと車両を使用していない期間が短い期間であって,0.0,exact,2,1
Section,section_376,section_421,オーバーヒートしたときは,オーバーヒートしたときは,0.0,exact,1,1
Section,section_379,section_425,スタックしたときは,スタックしたときは,0.0,exact,1,0
Section,section_386,section_432,5.3,5.3,0.0,exact,2,0
Section,section_388,section_434,4.5,4.5,0.0,exact,2,0
Section,section_391,section_437,2 ノッチとはパーキングブレーキをかけるときの節度 カチッ という,2 ノッチとはパーキングブレーキをかけるときの節度 カチッ という,0.0,exact,2,0
Section,section_393,section_439,8 11,8 11,0.0,exact,2,0
Section,section_395,section_442,15 5 12J,15 5 12J,0.0,exact,2,0
Section,section_418,section_469,こんなときは（症状別さくいん）,こんなときは（症状別さくいん）,0.0,exact,1,1
Section,section_421,section_472,キーをなくした,キーをなくした,0.0,exact,6,0
Section,section_427,section_481,ブレーキペダルを踏んでいてもシフトレバーがP から動かない,ブレーキペダルを踏んでいてもシフトレバーがP から動かない,0.0,exact,6,0
Section,section_428,section_482,ハイブリッドシステムを停止したあとにハンドルがまわせなくなっ,ハイブリッドシステムを停止したあとにハンドルがまわせなくなっ,0.0,exact,6,0
Section,section_429,section_483,パワーウインドウスイッチを操作してもドアガラスが開閉しない,パワーウインドウスイッチを操作してもドアガラスが開閉しない,0.0,exact,6,0
Section,section_434,section_488,警告灯や警告メッセージ（マルチインフォメーションディスプレイ,警告灯や警告メッセージ（マルチインフォメーションディスプレイ,0.0,exact,6,0
Section,section_450,section_503,アルファベット順さくいん,アルファベット順さくいん,0.0,exact,1,1
Section,section_458,section_233,P. 407,P. 407,0.0,exact,2,1
Section,section_7,section_7,1 2 3,1 2 3,0.0,exact,6,0
Section,section_14,section_14,安全なドライブのために,安全なドライブのために,0.0,exact,1,1
Section,section_25,section_35,9 18kg,9 18kg,0.0,exact,2,0
Section,section_39,section_57,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_41,section_59,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_46,section_64,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_51,section_67,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_61,section_77,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_64,section_80,3 システムがＯＦＦのときまたは一時的に作動しないときに点灯します,3 システムがＯＦＦのときまたは一時的に作動しないときに点灯します,0.0,exact,2,0
Section,section_67,section_83,2. 計器の見方,2. 計器の見方,0.0,exact,2,2
Section,section_73,section_89,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_74,section_90,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_76,section_92,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_80,section_94,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_81,section_95,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_82,section_96,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_83,section_97,◆★,◆★,0.0,exact,4,0
Section,section_84,section_98,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_85,section_99,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_86,section_100,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_91,section_105,2. 計器の見方,2. 計器の見方,0.0,exact,2,0
Section,section_92,section_108,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_95,section_109,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_96,section_111,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_98,section_114,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_101,section_117,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_102,section_120,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_105,section_121,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_106,section_122,2. 計器の見方,2. 計器の見方,0.0,exact,2,1
Section,section_108,section_123,エネルギーモニター／燃費画面,エネルギーモニター／燃費画面,0.0,exact,1,1
Section,section_111,section_126,8 段階に変化します,8 段階に変化します,0.0,exact,2,0
Section,section_119,section_135,ドアハンドルを引いたままドアを閉める2,ドアハンドルを引いたままドアを閉める2,0.0,exact,6,0
Section,section_126,section_142,14 日間以上スマートエントリースタートシステムを使用しなかった場合運,14 日間以上スマートエントリースタートシステムを使用しなかった場合運,0.0,exact,2,0
Section,section_144,section_158,パワーウインドウスイッチを「自動全閉」の位置で引き続け、ドアガラスを全2,パワーウインドウスイッチを「自動全閉」の位置で引き続け、ドアガラスを全2,0.0,exact,6,0
Section,section_145,section_159,いったんパワーウインドウスイッチから手を離して、再度パワーウインドウス3,いったんパワーウインドウスイッチから手を離して、再度パワーウインドウス3,0.0,exact,6,0
Section,section_146,section_160,パワーウインドウスイッチを「自動全開」の位置で押し続け、ドアガラスを全4,パワーウインドウスイッチを「自動全開」の位置で押し続け、ドアガラスを全4,0.0,exact,6,0
Section,section_147,section_161,運転,運転,0.0,exact,4,0
Section,section_153,section_167,（スマートエントリー＆スタートシステム非装着車）,（スマートエントリー＆スタートシステム非装着車）,0.0,exact,4,0
Section,section_158,section_172,（スマートエントリー＆スタートシステム装着車）,（スマートエントリー＆スタートシステム装着車）,0.0,exact,4,0
Section,section_170,section_184,トランスミッション,トランスミッション,0.0,exact,1,1
Section,section_172,section_186,シフトポジションの使用目的,シフトポジションの使用目的,0.0,exact,2,0
Section,section_173,section_187,目的および状態,目的および状態,0.0,exact,2,1
Section,section_174,section_188,方向指示レバー,方向指示レバー,0.0,exact,1,0
Section,section_196,section_210,2 マルチインフォメーションディスプレイ装着車,2 マルチインフォメーションディスプレイ装着車,0.0,exact,2,1
Section,section_207,section_228,先行車発進告知機能,先行車発進告知機能,0.0,exact,1,1
Section,section_224,section_253,室内装備・機能,室内装備・機能,0.0,exact,4,0
Section,section_229,section_259,2 温湿度環境風量・風向きによってはナノイーの効果が十分に得られな,2 温湿度環境風量・風向きによってはナノイーの効果が十分に得られな,0.0,exact,2,0
Section,section_239,section_270,4 kg 以上のものをフックに吊り下げないでください,4 kg 以上のものをフックに吊り下げないでください,0.0,exact,2,1
Section,section_254,section_288,16 6J,16 6J,0.0,exact,2,0
Section,section_255,section_292,16 4T,16 4T,0.0,exact,2,1
Section,section_256,section_293,420 (4.2),420 (4.2),0.0,exact,2,1
Section,section_268,section_305,カバーを取り付ける6,カバーを取り付ける6,0.0,exact,6,0
Section,section_271,section_308,取り付けるときは、取りはずしたときと逆の手順で取り付ける3,取り付けるときは、取りはずしたときと逆の手順で取り付ける3,0.0,exact,6,0
Section,section_272,section_309,車幅灯,車幅灯,0.0,exact,6,0
Section,section_275,section_312,取り付けるときは、取りはずしたときと逆の手順で取り付ける3,取り付けるときは、取りはずしたときと逆の手順で取り付ける3,0.0,exact,6,0
Section,section_281,section_318,2 本を取り付ける,2 本を取り付ける,0.0,exact,2,0
Section,section_286,section_323,新しい電球を取り付ける3,新しい電球を取り付ける3,0.0,exact,6,0
Section,section_287,section_324,レンズを取り付ける4,レンズを取り付ける4,0.0,exact,6,0
Section,section_288,section_325,万一の場合には,万一の場合には,0.0,exact,4,0
Section,section_292,section_329,発炎筒,発炎筒,0.0,exact,1,1
Section,section_293,section_330,13,13,0.0,exact,6,0
Section,section_294,section_331,2 秒以上押すまたは,2 秒以上押すまたは,0.0,exact,2,1
Section,section_296,section_378,14,14,0.0,exact,6,0
Section,section_300,section_339,5 m 以内,5 m 以内,0.0,exact,2,0
Section,section_308,section_347,3 パーキングブレーキ走行時警告ブザー,3 パーキングブレーキ走行時警告ブザー,0.0,exact,2,0
Section,section_310,section_349,5 半ドア走行時警告ブザー,5 半ドア走行時警告ブザー,0.0,exact,2,0
Section,section_315,section_355,3 回点滅,3 回点滅,0.0,exact,2,0
Section,section_318,section_358,1 回,1 回,0.0,exact,2,0
Section,section_319,section_359,3 回,3 回,0.0,exact,2,0
Section,section_320,section_360,5 秒,5 秒,0.0,exact,2,0
Section,section_322,section_362,5 秒,5 秒,0.0,exact,2,0
